margin,diff,ci_lo,ci_hi,tost_p_lower,tost_p_upper,tost_p_max,tost_NI
0.3,-0.015972694992591185,-0.2486253615744214,0.216679971589239,0.008668634228903776,0.0041865319676059835,0.008668634228903776,TRUE
0.5,-0.015972694992591185,-0.2486253615744214,0.216679971589239,4.182169725072089e-5,1.533430858013211e-5,4.182169725072089e-5,TRUE
0.75,-0.015972694992591185,-0.2486253615744214,0.216679971589239,7.572377766410964e-9,2.2871209931327645e-9,7.572377766410964e-9,TRUE
1,-0.015972694992591185,-0.2486253615744214,0.216679971589239,4.922419389569551e-13,1.4003865190329615e-13,4.922419389569551e-13,TRUE
