estimator,diff,ci_lo,ci_hi,welch_p,tost_NI_at_pm1
Unweighted (primary),-0.009390101221710537,-0.2765267767034765,0.25774657426005537,0.9443096698400455,NA
IPCW-stabilised,-0.05308765378481631,-0.2932386362845967,0.18706332871496406,0.6650285994825201,TRUE
