cohort,rho_dbs,rho_dbs_lo,rho_dbs_hi,rho_ndb,rho_ndb_lo,rho_ndb_hi,d_rho,d_rho_lo,d_rho_hi,p_2sided
matched,0.03303752413753711,-0.33155953559198376,0.3856013163728266,0.19229003621339932,-0.0966156244289186,0.4440486917934754,-0.1592525120758622,-0.6000741892543399,0.2911159748904712,0.4816
full,-0.02488265566452425,-0.3262555175911368,0.2721825865662712,0.13680812717794097,0.043972153920085216,0.22170448805043358,-0.16169078284246521,-0.471161151046723,0.1472133669547904,0.3184
