label,outcome,n,OR_wald,Wald_lo,Wald_hi,OR_profile,Profile_lo,Profile_hi,OR_firth,Firth_lo,Firth_hi,arm,cohort
matched | All,pain_ge1,150,1.348953140576263,0.6645725132222383,2.7381129060660525,1.348953140576263,0.670000091875688,2.777253441151616,1.3351740696278516,0.6675094752477729,2.7276752719466053,All,matched
matched | All,pain_ge2,150,1.1454545454564051,0.5255139971046467,2.4967291507660168,1.1454545454564051,0.5180275341228839,2.4852680462057486,1.1523705124691697,0.5269046402066411,2.4764120309513764,All,matched
matched | DBS,pain_ge1,56,2.016666666660981,0.6563231930800545,6.196557560819659,2.016666666660981,0.662586756208096,6.3800604223390085,1.9639468690702078,0.6609937343850295,6.0436499781510715,DBS,matched
matched | DBS,pain_ge2,56,1.428571428570199,0.429906691565489,4.747114586878244,1.428571428570199,0.43459213984347295,4.957288973015074,1.3935599284436493,0.43779631377588,4.647234056082951,DBS,matched
matched | Never-DBS,pain_ge1,94,1.0555555555553282,0.41072860660150634,2.7127341825127,1.0555555555553282,0.41682608535222476,2.798479073955625,1.037847427557658,0.4163467690179443,2.696218662046829,Never-DBS,matched
matched | Never-DBS,pain_ge2,94,0.8074534161484885,0.26006600469293795,2.506982871597015,0.8074534161484885,0.2383152303909718,2.3940224776840218,0.8473954512082709,0.26287192306643464,2.4361483637717525,Never-DBS,matched
full | All,pain_ge1,1349,1.7536326304969982,1.3198995211540143,2.3298950817521997,1.7536326304969982,1.3240066670453048,2.3385583369077176,1.7483074569939647,1.3207305322607434,2.3299680840806167,All,full
full | All,pain_ge2,1349,1.7695032539798148,1.2940069813521902,2.4197255586466957,1.7695032539798148,1.2889799000186304,2.412167918813288,1.7734731925180816,1.2929251542260292,2.4158436393289375,All,full
full | DBS,pain_ge1,89,3.1690821256038526,1.2096177864206301,8.302690016273843,3.1690821256038526,1.2322334574235363,8.590624545736674,3.067189249720045,1.2124996252250444,8.143481440481013,DBS,full
full | DBS,pain_ge2,89,1.4318181818151985,0.578957666004015,3.541024544897145,1.4318181818151985,0.5842221922915063,3.616098137616949,1.4107023411371722,0.5832598601704319,3.5074638824888313,DBS,full
full | Never-DBS,pain_ge1,1260,1.540551724137715,1.136512511181333,2.0882300822863713,1.540551724137715,1.1400047146744423,2.0962351395248557,1.5359389884262822,1.137378770295501,2.088331770314334,Never-DBS,full
full | Never-DBS,pain_ge2,1260,1.629926194128006,1.151217428068331,2.3076956042633148,1.629926194128006,1.1440994583549127,2.2961054488561015,1.6362967769846422,1.1499938602746433,2.302652528195442,Never-DBS,full
