cohort,n_dbs,n_ctrl,rho_dbs,rho_nd,d_rho,d_rho_lo,d_rho_hi,p_2sided
matched,33,56,0.03526364180440964,0.19662948587505844,-0.15805138670056512,-0.6127842862891366,0.3017441706776876,0.4892
unmatched_complement,17,425,0.023327198993232542,0.11601053132494668,-0.08088725542578312,-0.636671701221929,0.5755141703710172,0.7628
