cohort,outcome,ACME,ACME_lo,ACME_hi,ACME_p,ADE,ADE_lo,ADE_hi,ADE_p,total_effect,total_lo,total_hi,total_p,prop_mediated,prop_med_lo,prop_med_hi
matched,delta_pain (adj for delta_motor),-0.020911701220170505,-0.09045346649233262,0.07396996869340033,0.686,-0.07648357495369779,-0.4870694401659311,0.3507566656744384,0.74,-0.09739527617386828,-0.49129945319403223,0.33657558213271355,0.7,0.21470960442516035,-3.3095258108308387,2.586079119820381
full,delta_pain (adj for delta_motor),-0.03987526027294688,-0.09106211843923337,0.0030799336026637353,0.066,-0.08890714799722069,-0.3466538676183161,0.15575068903792036,0.492,-0.12878240827016757,-0.3865548808610755,0.11754286614752713,0.352,0.30963282026295186,-2.965621430452386,2.3808807925540814
