cohort,b_split_mild,se_split_mild,b_split_modplus,se_split_modplus,diff,z,p_value,PO_assumption_holds
matched,0.2993288402073682,0.36120057719736043,0.1358015411606853,0.3975481185074425,0.16352729904668292,0.304445496862251,0.7607885102473926,TRUE
full,0.5616894253179853,0.1449688944266757,0.57069885972783585,0.15967398940007277,-0.00900943440985058,-0.04177496801214019,0.9666780902206191,TRUE
