stratifier,term,n,post_mean,ci_lo,ci_hi,P_abs_gt_025,P_abs_gt_050,P_gt_zero
prs_tertile,armDBS:strat_fMid,642,-0.21170182214884212,-0.7650368739969554,0.36095149935464976,0.5042,0.1609,0.2228
prs_tertile,armDBS:strat_fHigh,642,-0.05115145338249434,-0.6213365076642852,0.5637533231589265,0.4099,0.104,0.4243
apoe4,armDBS:strat_fNon-carrier,642,-0.21147967916555524,-0.8576308412524865,0.39439857490676755,0.5114,0.1869,0.2496
saa_pos,armDBS:strat_fPositive,642,-0.17289234934259345,-0.6907956081672092,0.36755968187713717,0.4516,0.1202,0.2566
gba,armDBS:strat_fNon-carrier,642,0.41362978565017255,-0.6168255858449313,1.5291329679396388,0.7062481195466854,0.45822886370474375,0.7866813759903721
