mediator,n,ACME,ACME_lo,ACME_hi,ACME_p,ADE,ADE_lo,ADE_hi,ADE_p,total,total_p,prop_mediated
LEDD,642,-0.0318556637540311,-0.07644505896959175,0.010926937557005816,0.146,0.015882968761439655,-0.22853726594331775,0.24322806925114374,0.942,-0.015972694992591442,0.844,1.994382523976486
NHY,408,0.0068643077083638555,-0.03028934164156933,0.047707101898381135,0.674,-0.06606975589613741,-0.32877204825022915,0.20077950773204936,0.626,-0.059205448187773554,0.678,-0.11594047369751008
gds,513,0.0015548529668312555,-0.011283248500208447,0.015772777436833686,0.84,-3.311704040551378e-4,-0.2201046218838627,0.22543424533740786,0.962,0.001223682562776118,0.964,1.27063424300484
scopa,509,-0.009344271042927144,-0.041841152722335274,0.014933792666207129,0.426,0.0013172157802946415,-0.21188657093499214,0.22635870659840251,0.938,-0.008027055262632503,0.992,1.1640970115686802
ess,511,0.013335370313363636,-0.007444270100736476,0.04578951470933678,0.256,-0.01910861131843211,-0.2412231055272004,0.2179500737478271,0.868,-0.005773241005068475,0.968,-2.309858587517163
updrs3_score,537,-0.0029996481237069966,-0.0578117080137568,0.04092808269273976,0.89,-0.12782851323405797,-0.3814937754987357,0.11975552773136651,0.35,-0.13082816135776498,0.324,0.022928153178764826
