estimator,diff,ci_lo,ci_hi,welch_p,tost_NI_at_pm1
Unweighted (primary),0.2366121522079309,0.060700908393555415,0.4125233960223063,0.009692563736028488,NA
IPCW-stabilised,0.1904666752200343,0.02917606377506321,0.3517572866650054,0.020780312067818624,TRUE
