caliper,n_dbs,n_ctl,max_abs_smd,pct_smd_under_0.1
0.05,87,156,0.06562757634796111,1
0.1,89,166,0.10532577790785023,0.7142857142857143
0.2,95,176,0.11234967676323097,0.8571428571428571
