window,global_strength_dbs,global_strength_neverdbs,global_strength_diff,global_strength_pval,network_invariance_stat,network_invariance_pval
baseline,6.456697717607285,5.348028333018679,1.1086693845886062,0.13572854291417166,0.17855233331503184,0.8882235528942116
early_post,4.915702541043835,5.4064956794558015,0.49079313841196637,0.654690618762475,0.337611911790737,0.11377245508982035
late_post,4.907554117345794,6.658163681623504,1.7506095642777106,0.5269461077844312,0.9489838008453721,0.0499001996007984
