model,coef,estimate_weighted,se_model_weighted,estimate_unweighted,se_model_unweighted,se_robust_unweighted,p_robust_unweighted
m_A (Pre vs Post-DBS phase),(Intercept),1.0525032070532314,0.12395229967305661,1.063740843825555,0.12539918319899968,0.16498412032365,2.067121316019991e-8
m_A (Pre vs Post-DBS phase),time_m,-0.010573558434559559,0.0795402174983551,-0.014382064201724677,0.07905757052682366,0.12249332602117563,0.9245172101523769
m_A (Pre vs Post-DBS phase),trajPost-DBS,0.12268330367847179,0.049516349125842955,0.10880803485238393,0.05032460371154009,0.16625861031493328,0.5184595361718602
m_A (Pre vs Post-DBS phase),time_m:trajPost-DBS,-0.004880656597365024,0.08003898892207365,-8.330972476550694e-4,0.07958171464921496,0.12445173581408868,0.9956575205972942
m_B (Post-DBS vs Never-DBS),(Intercept),0.9942001167312272,0.0951408476779636,0.994348544774674,0.09568146188966327,0.09229081888906039,1.3774755688869708e-18
m_B (Post-DBS vs Never-DBS),time_m,0.014323847882645643,0.007571221393811996,0.014488160509778554,0.007685576058280139,0.009143312997591177,0.12037012382844874
m_B (Post-DBS vs Never-DBS),trajPost-DBS,0.11322399264934985,0.15133578530868688,0.11439549000302442,0.15235244120853997,0.15535045159502578,0.4627724006981091
m_B (Post-DBS vs Never-DBS),time_m:trajPost-DBS,-0.009913496082355661,0.010088532757768135,-0.010125615121814906,0.010249602173840171,0.010784504704239934,0.35026989847917545
