anchor,n_dbs,n_ctrl,delta_dbs,delta_ctl,diff,ci_lo,ci_hi,welch_p,tost_p_lo,tost_p_hi,tost_p_max,tost_NI,margin
patient_anchor,67,575,0.06463560661104963,0.08060830160364081,-0.015972694992591185,-0.2486253615744214,0.216679971589239,0.8917147139643014,4.922419389569551e-13,1.4003865190329615e-13,4.922419389569551e-13,TRUE,1
cohort_median,67,110,0.06463560661104963,0.15899985469063796,-0.09436424807958833,-0.37933309254119035,0.1906045963820137,0.5138796865596904,1.792590589998648e-9,1.6846460122100169e-12,1.792590589998648e-9,TRUE,1
symmetric_midpoint,67,549,0.06463560661104963,-0.01754363715408313,0.08217924376513275,-0.14965253134179354,0.31401101887205907,0.4826856958513527,1.0015329792710139e-14,6.276464730103708e-12,6.276464730103708e-12,TRUE,1
