stratifier,n,post_mean,ci_lo,ci_hi,P_abs_gt_025,P_abs_gt_050,P_gt_zero
prs_tertile,1417,-0.21579892967015954,-0.5934554861172283,0.1390554770028932,0.4203,0.0617,0.1142
apoe4,1417,-0.033598500429075785,-0.40897601081615537,0.33837786034814693,0.1929,0.011,0.4304
saa_pos,1417,-0.20276732952694831,-0.6058077705791705,0.21032211438157974,0.4242,0.0729,0.157
gba,1417,0.47251014505943056,0.24260649573734805,0.7251552895768456,0.9700958197325471,0.3979151310940297,1
